pair,a,b,mode,metric,n_tasks,mean_diff,ci_lo,ci_hi,median_diff,frac_positive,sign_p,mean_a,mean_b
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,success,150,0.15833333333333333,0.115,0.20333333333333334,0.0,0.35333333333333333,1.7539187463500028e-10,0.34,0.18166666666666667
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,total_e2e_tokens,150,23367.77666666667,5770.123333333333,34364.431666666664,22890.25,0.84,6.6898397723462276e-18,67154.195,43786.418333333335
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,gen_tokens,150,1471.7666666666667,1224.89,1700.8766666666668,1374.875,0.9,2.5548753585057904e-25,4783.491666666667,3311.725
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,obs_tokens,150,20104.385,2990.92,30964.846666666668,20185.125,0.8133333333333334,3.430408065571779e-15,55413.628333333334,35309.24333333333
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,turns,150,16.158333333333335,14.39,17.968333333333334,14.0,0.9866666666666667,1.5871106406942878e-41,21.663333333333334,5.505
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,tool_calls,150,8.186666666666667,6.99,9.368333333333334,6.875,0.9,1.646522566234282e-27,13.251666666666667,5.065
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,peak_ctx,150,416.75,-400.09,1208.0866666666666,983.125,0.5733333333333334,0.08607110318597075,31571.923333333332,31155.173333333332
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,mean_ctx,150,-703.0712981204524,-1230.017944944617,-191.8314728815874,-558.6825622584311,0.43333333333333335,0.12052916970948838,18807.060078797975,19510.131376918423
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,cum_prompt_tokens,150,323313.12,283796.585,365375.51166666666,279955.625,0.9533333333333334,4.330280643440687e-34,436038.9083333333,112725.78833333333
GRPO: fold − no fold,grpo_fold,grpo_nofold,t1n4,forward_passes,150,16.158333333333335,14.48,17.918333333333333,14.0,0.9866666666666667,1.5871106406942878e-41,21.663333333333334,5.505
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,success,150,-0.08666666666666667,-0.14666666666666667,-0.02666666666666667,0.0,0.03333333333333333,0.010622024536132812,0.06666666666666667,0.15333333333333332
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,total_e2e_tokens,150,2560.8333333333335,705.06,4364.173333333333,630.5,0.5733333333333334,0.08607110318597075,39315.02,36754.18666666667
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,gen_tokens,150,-1095.34,-1468.84,-601.5866666666667,-1194.0,0.18,7.712497975755227e-16,2064.06,3159.4
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,obs_tokens,150,3651.9266666666667,1801.54,5396.633333333333,2284.0,0.6866666666666666,5.597619670017193e-06,32081.606666666667,28429.68
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,turns,150,1.4266666666666667,0.9,1.96,2.0,0.68,4.907183565421113e-10,6.8133333333333335,5.386666666666667
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,tool_calls,150,1.7133333333333334,1.1666666666666667,2.2733333333333334,2.0,0.6866666666666666,6.796791472915328e-10,6.726666666666667,5.013333333333334
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,peak_ctx,150,3136.153333333333,1866.7066666666667,4441.786666666667,1714.5,0.6066666666666667,0.00853115461460051,33870.50666666667,30734.353333333333
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,mean_ctx,150,2301.5655815089053,1485.6776565264802,3160.2799693247925,1319.2023809523798,0.6733333333333333,2.6269069412203526e-05,21636.68828711811,19335.122705609203
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,cum_prompt_tokens,150,40728.4,26813.693333333333,54440.73333333333,46297.0,0.7333333333333333,9.562829077717896e-09,150771.81333333332,110043.41333333333
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,greedy,forward_passes,150,1.4266666666666667,0.8933333333333333,1.94,2.0,0.68,4.907183565421113e-10,6.8133333333333335,5.386666666666667
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,success,150,-0.12833333333333333,-0.16833333333333333,-0.09,0.0,0.02,6.981082378842984e-11,0.05333333333333334,0.18166666666666667
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,total_e2e_tokens,150,-4669.171666666667,-19649.568333333333,3295.5316666666668,1479.0,0.66,0.00010978172637063631,39117.246666666666,43786.418333333335
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,gen_tokens,150,-1339.7666666666667,-1566.635,-1108.7833333333333,-1332.25,0.07333333333333333,2.2621587335491238e-29,1971.9583333333333,3311.725
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,obs_tokens,150,-3333.9616666666666,-18076.736666666668,4518.376666666667,3055.875,0.8,5.973732026445343e-14,31975.281666666666,35309.24333333333
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,turns,150,1.525,1.185,1.875,1.5,0.76,8.905412788391316e-15,7.03,5.505
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,tool_calls,150,1.8733333333333333,1.5316666666666667,2.2383333333333333,1.75,0.8066666666666666,2.8177061253295323e-18,6.9383333333333335,5.065
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,peak_ctx,150,2708.6783333333333,2042.87,3399.7916666666665,2069.875,0.72,6.915618314188369e-08,33863.85166666667,31155.173333333332
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,mean_ctx,150,1728.191428701267,1325.2370477258526,2145.196438737119,1564.9013673826175,0.7466666666666667,1.158262681444883e-09,21238.322805619693,19510.131376918423
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,cum_prompt_tokens,150,39698.35,30449.65,49278.35,35758.25,0.7933333333333333,2.3439580458997396e-13,152424.13833333334,112725.78833333333
FoldGRPO/no fold − GRPO/no fold,fold_nofold,grpo_nofold,t1n4,forward_passes,150,1.525,1.1783333333333332,1.885,1.5,0.76,8.905412788391316e-15,7.03,5.505
base: fold − no fold,base_fold,base_nofold,greedy,success,150,0.06,-0.013333333333333334,0.13333333333333333,0.0,0.12666666666666668,0.13604594767093658,0.14666666666666667,0.08666666666666667
base: fold − no fold,base_fold,base_nofold,greedy,total_e2e_tokens,150,-10932.753333333334,-13825.466666666667,-8124.94,-13123.0,0.2733333333333333,2.6138463982982553e-08,25545.08,36477.833333333336
base: fold − no fold,base_fold,base_nofold,greedy,gen_tokens,150,308.52666666666664,-864.62,1271.22,1628.0,0.7866666666666666,8.839070431755034e-13,4580.866666666667,4272.34
base: fold − no fold,base_fold,base_nofold,greedy,obs_tokens,150,-12445.446666666667,-15231.893333333333,-9713.04,-12871.5,0.26666666666666666,1.4093502618490235e-08,14594.253333333334,27039.7
base: fold − no fold,base_fold,base_nofold,greedy,turns,150,1.68,0.78,2.6133333333333333,1.0,0.5466666666666666,0.011951543889931044,7.293333333333333,5.613333333333333
base: fold − no fold,base_fold,base_nofold,greedy,tool_calls,150,-2.74,-3.453333333333333,-2.033333333333333,-3.0,0.20666666666666667,5.4871722699138035e-11,2.6,5.34
base: fold − no fold,base_fold,base_nofold,greedy,peak_ctx,150,-11565.966666666667,-13605.42,-9499.893333333333,-14278.5,0.22666666666666666,1.1198515999607734e-11,20212.52666666667,31778.493333333332
base: fold − no fold,base_fold,base_nofold,greedy,mean_ctx,150,-6756.991448609411,-7983.653323140855,-5517.491616388484,-7870.916666666668,0.21333333333333335,8.839070431755034e-13,12276.034064732023,19033.025513341436
base: fold − no fold,base_fold,base_nofold,greedy,cum_prompt_tokens,150,-13880.386666666667,-34923.64666666667,8479.826666666666,-24714.0,0.36666666666666664,0.0013699461049548254,103720.34,117600.72666666667
base: fold − no fold,base_fold,base_nofold,greedy,forward_passes,150,1.68,0.7533333333333333,2.6266666666666665,1.0,0.5466666666666666,0.011951543889931044,7.293333333333333,5.613333333333333
base: fold − no fold,base_fold,base_nofold,t1n4,success,150,0.10666666666666667,0.07,0.14666666666666667,0.0,0.26,1.4051624930289108e-07,0.18,0.07333333333333333
base: fold − no fold,base_fold,base_nofold,t1n4,total_e2e_tokens,150,-11631.473333333333,-13076.05,-10203.216666666667,-12719.625,0.1,2.5548753585057904e-25,25702.665,37334.138333333336
base: fold − no fold,base_fold,base_nofold,t1n4,gen_tokens,150,1158.67,735.2666666666667,1555.0433333333333,1618.5,0.8866666666666667,1.7309935519822622e-23,4684.528333333334,3525.858333333333
base: fold − no fold,base_fold,base_nofold,t1n4,obs_tokens,150,-13993.676666666666,-15292.825,-12630.588333333333,-15081.5,0.04666666666666667,4.330280643440687e-34,14646.995,28640.671666666665
base: fold − no fold,base_fold,base_nofold,t1n4,turns,150,1.475,0.7433333333333333,2.276666666666667,0.5,0.5933333333333334,0.02148335077772227,7.696666666666666,6.221666666666667
base: fold − no fold,base_fold,base_nofold,t1n4,tool_calls,150,-3.4383333333333335,-3.796666666666667,-3.0766666666666667,-3.5,0.07333333333333333,7.775470971507245e-29,2.55,5.988333333333333
base: fold − no fold,base_fold,base_nofold,t1n4,peak_ctx,150,-12347.315,-13223.768333333333,-11448.491666666667,-13014.125,0.013333333333333334,1.5871106406942878e-41,20170.131666666668,32517.446666666667
base: fold − no fold,base_fold,base_nofold,t1n4,mean_ctx,150,-8043.141165145363,-8578.281987753002,-7497.324354588059,-8438.811359126983,0.013333333333333334,1.5871106406942878e-41,11976.571499387876,20019.71266453324
base: fold − no fold,base_fold,base_nofold,t1n4,cum_prompt_tokens,150,-24292.958333333332,-39808.00833333333,-6712.363333333334,-44094.0,0.28,6.915618314188369e-08,109332.49166666667,133625.45
base: fold − no fold,base_fold,base_nofold,t1n4,forward_passes,150,1.475,0.7783333333333333,2.26,0.5,0.5933333333333334,0.02148335077772227,7.696666666666666,6.221666666666667
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,success,150,0.22,0.14,0.3,0.0,0.26,5.417768988991156e-07,0.37333333333333335,0.15333333333333332
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,total_e2e_tokens,150,64332.346666666665,53557.63333333333,75567.76,43157.0,0.88,1.2913641527344651e-22,101086.53333333334,36754.18666666667
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,gen_tokens,150,1151.98,828.1666666666666,1494.3066666666666,899.0,0.7266666666666667,2.6138463982982553e-08,4311.38,3159.4
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,obs_tokens,150,60108.00666666667,49719.52,70886.24666666667,39611.5,0.8866666666666667,1.7309935519822622e-23,88537.68666666666,28429.68
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,turns,150,26.0,22.586666666666666,29.46,21.0,0.9733333333333334,1.5454920763038407e-39,31.386666666666667,5.386666666666667
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,tool_calls,150,13.566666666666666,11.506666666666666,15.72,10.0,0.8866666666666667,1.3833392965568364e-28,18.58,5.013333333333334
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,peak_ctx,150,1691.78,206.97333333333333,3098.48,1466.5,0.6333333333333333,0.0013699461049548254,32426.133333333335,30734.353333333333
